Leq( Avg),total vehicles,2W,3W,4w,HV,Distance of residents from the road,Age,Health Hazards,,,,,,,,,,,
80.65,777,557,60,137,23,60.5,3,5,,,,,,,,,,,
93.75,862,601,82,152,27,91.8,4,3,,,,,,,,,,,
86.15,710,512,64,113,21,38.08,1,5,,,,,,,,,,,
98.65,809,610,55,124,20,123.92,2,4,,,,,,,,,,,
91.45,786,555,69,135,27,353.87,2,3,,,,,,,,,,,
83.40,824,586,72,135,31,393.98,2,4,,,,,,,,,,,
92.80,787,560,62,138,27,26.87,4,2,,,,,,,,,,,
84.60,874,604,84,153,33,8.12,3,5,,,,,,,,,,,
88.30,718,515,66,114,23,6.67,2,4,,,,,,,,,,,
89.50,821,613,57,125,26,12.45,2,5,,,,,,,,,,,
81.00,798,558,71,136,33,46.72,3,5,,,,,,,,,,,
92.00,854,589,74,154,37,11,2,4,,,,,,,,,,,
81.40,807,599,64,117,27,10.08,3,3,,,,,,,,,,,
89.20,770,510,86,135,39,86.29,4,5,,,,,,,,,,,
88.70,834,608,68,136,22,33.22,3,3,,,,,,,,,,,
77.25,804,553,59,169,23,7.21,3,3,,,,,,,,,,,
81.71,787,584,73,113,17,12.99,2,4,,,,,,,,,,,
79.75,774,558,76,124,16,47.26,2,3,,,,,,,,,,,
84.25,732,508,66,135,23,11.54,4,4,,,,,,,,,,,
83.45,822,606,59,130,27,10.62,2,3,,,,,,,,,,,
85.92,765,551,73,114,27,86.83,4,5,,,,,,,,,,,
95.68,792,582,76,122,12,33.76,3,2,,,,,,,,,,,
91.68,769,556,66,129,18,28.148,2,2,,,,,,,,,,,
97.70,851,600,88,144,19,9.398,2,5,,,,,,,,,,,
90.59,724,511,70,122,21,7.948,3,2,,,,,,,,,,,
78.35,824,609,61,134,20,13.728,5,3,,,,,,,,,,,
93.75,792,554,75,143,20,47.998,3,5,,,,,,,,,,,
86.15,820,585,78,134,23,12.278,4,2,,,,,,,,,,,
98.65,851,612,68,147,24,11.358,3,2,,,,,,,,,,,
91.45,788,557,90,118,23,87.568,3,3,,,,,,,,,,,
80.95,804,588,72,123,21,34.498,4,5,,,,,,,,,,,
